지수명,종가,대비,등락률
KIS 2025-08만기형 크레딧 A+이상 지수(총수익),119.5,0.03,0.03
코스피 200,351.52,4.82,1.39
MK 머니마켓 지수(총수익),13909.85,3.59,0.03
KIS-하나 MMF 지수(총수익),113.65,0.03,0.03
Hang Seng China H,6056.63,71.69,1.2
KIS 11월 만기자동연장회사채(AA-이상) 총수익지수,116.34,0.03,0.03
코스피 200 TR,449.65,6.21,1.4
KIS 크레딧 2412만기형 총수익지수,112.5,0.03,0.03
KIS 크레딧 2506만기형(AA-이상)지수(총수익지수),119.41,0.03,0.03
KIS 크레딧 2606만기형(AA-이상)지수(총수익지수),118.33,0,0
KAP 2월 만기자동연장회사채(AA-이상) 총수익지수,115.53,0.03,0.03
FnGuide 친환경 자동차 밸류체인 지수,1310.32,29.32,2.29
KIS 5월 만기자동연장회사채(AA-이상) 총수익지수,114.43,0.03,0.03
KAP 8월 만기자동연장회사채(AA-이상) 총수익지수,115.85,0.03,0.03
FnGuide AI 반도체 포커스 지수(시장가격),1838.81,54.68,3.06
MK-KAP CD 금리 & 초단기 채권 총수익 지수,114.16,0.03,0.03
MSCI Korea Country ESG Leaders Custom Capped Price return Index,1546.37,18.93,1.24
FnGuide 5G플러스 지수 (시장가격),1828.26,12.81,0.71
FnGuide 성장소비주도 지수,1857.03,-2.41,-0.13
FactSet US-China Electric&Autonomous Vehicle Price Return Index,206.61,0.75,0.36
iSelect K-POP 포커스지수(시장가격),1719.9,-51.92,-2.93
KRX 금현물지수,2532.88,-22.53,-0.88
S&P GSCI GOLD Index Excess Return,159.8,0.65,0.41
KEDI 글로벌 AI 클라우드 지수,3657.29,19.57,0.54
KIS 10년 국고채 지수 (총수익),16212.19,-13.3,-0.08
KTB INDEX(시장가격),10433.21,-1.85,-0.02
Bloomberg Global Digital Media & Tech Select Price Return Index,4171.06,0.46,0.01
Solactive Global Semiconductor TOP4 Plus Price Return Index,4318.86,224,5.47
Bloomberg Global Select Industry Leaders TOP10 Index(PR),3794.38,38.12,1.01
Solactive Global Superior Income TOP 10 Price Return Index,757.02,1.46,0.19
KIS 단기채권알파AA-이상 총수익지수,116.86,0.03,0.03
KIS MSB 단기지수(총수익),12487.89,3.26,0.03
MSCI Russia 25% Capped Price Return Index,,,
KEDI 글로벌생성형AI 지수,3119.08,38.09,1.24
MSCI MEXICO IMI 25/50 Price return Index,10651.71,39.06,0.37
S&P Ultra T-Bond Futures Index(ER),122.71,1.23,1.01
Bloomberg U.S Treasury 20+ Year Total Return Index,611.45,6.16,1.02
Bloomberg U.S. Treasury 20+ Year Total Return Index T1530 JPY Currency Hedged,122.04,-0.72,-0.59
Bloomberg US 500 Large Cap Premium Decrement 15% Distribution Index,1065.37,7.12,0.67
다우존스 인터넷 종합지수,871.07,6.8,0.79
S&P 500,5344.16,24.85,0.47
S&P500 and Short-Term Treasury 30/70 Blend Index,180.01,0.3,0.17
MorningStar Wide Moat Focus Index,13522.45,-15.12,-0.11
NASDAQ 100,18513.1,99.28,0.54
NASDAQ-100 US T-Bills 30/70 Index,1656.09,3.09,0.19
Dow Jones U.S. Real Estate Index,1729.94,7.97,0.46
Solactive SOFR Daily Total Return Index,1152.13,0.17,0.01
Bloomberg Short-Term Treasury Total Return Index,140.82,0.03,0.02
Bloomberg US Listed Semiconductor Premium Decrement 15% Distribution Index,1302.26,-1.58,-0.12
Dow Jones U.S. Dividend 100 Price Return Index,5655.77,-5.98,-0.11
Bloomberg US Big Tech Top 7 Plus Premium Decrement 15% Distribution Index,1683.29,18.95,1.14
Solactive US Big Tech Top 7 Plus Price Return Index,23083.83,188.01,0.82
FnGuide 미국 주식 베스트셀러 지수(시장가격지수),6704.52,68.6,1.03
Indxx US Green Infrastructure Price return Index,2665.68,-27.16,-1.01
Markit iBoxx USD Liquid High Yield Total Return Index,349.29,-0.02,-0.01
FnGuide-RAFI 코리아 대형 지수,9610.38,106.66,1.12
VN30 Index(PR),1264.84,21.53,1.73
Bloomberg VN30 Futures Excess Return Index,182.17,3.57,2
MKF SAMs EW 지수,17819.04,73.83,0.42
MKF SAMs SW,15045.44,140.01,0.94
Morningstar Singapore REIT Yield Focus Index(PR),1209.95,0,0
S&P ASIA50 Price Return Index,4051.08,66.91,1.68
Bloomberg Top 30 Supply Chain Plus Apple Price Return Index,2532.05,29.96,1.2
KEDI 글로벌AI반도체 지수,4260.15,5.34,0.13
Bloomberg Blended NVIDIA Equity and Korean Bond Index,7395.84,115.39,1.59
DeepSearch 원자력테마 지수 (시장가격지수),1639.82,22.46,1.39
MSCI Indonesia Index,7197.31,31.11,0.43
코스피 200 선물지수,1753.43,34.28,1.99
Nikkei 225,35025,193.85,0.56
TOPIX,2483.3,21.6,0.88
Bloomberg Japan Semiconductor Select Top 25 Index(Price Return),3059.46,-30.14,-0.98
KIS 종합채권 AA-이상 총수익 지수(Total return Index),116.54,-0.04,-0.03
FnGuide 올라운드 가치주 지수,826.66,11.44,1.4
STAR 50 Index(Price Return),705.55,-3.37,-0.48
CSI 300 Index,3331.63,-11.31,-0.34
KIS 종합채권국공채1-10Y지수,150.44,-0.05,-0.03
Hang Seng TECH Index,3436.8,70.12,2.08
코스닥 150,1284.41,35.88,2.87
코스피,2588.43,31.7,1.24
Bloomberg EV Supporters Plus Tesla Price Return Index,4578.95,40.03,0.88
FnGuide 포스코그룹포커스 지수(시장가격),2803.72,87.66,3.23
MSCI Philippines IMI Index,1585.19,19.7,1.26
KAP 24-11 회사채 총수익 지수(AA-이상),109.51,0.03,0.03
iSelect 2차전지양극재 지수,4760.84,199.14,4.37
iSelect 미래전략기술 지수 (PR),2321.06,25.35,1.1
FnGuide 온디바이스AI 지수,2185.47,47.51,2.22
FnGuide 주주가치 지수,2010.15,23.22,1.17
FnGuide AI반도체&인프라 지수,3038.61,83.32,2.82
KRX ESG Leaders 150,1652.28,11.9,0.73
KRX 300,1627.57,24.22,1.51
코스피 200 Top 10 지수,1256.43,15.36,1.24
KAP 32-10 국고채 10년 총수익지수,109.74,-0.08,-0.07
iSelect CAPEX 설비투자 지수(시장가격),1974.48,46.01,2.39
iSelect CD Index(총수익),11449.03,1.09,0.01
FnGuide K-POP & 미디어 지수,589.9,-13.46,-2.23
FnGuide K-게임 지수,816.33,-0.4,-0.05
FnGuide K-뉴딜 디지털 플러스 지수,1755.51,15.12,0.87
FnGuide K-메타버스 MZ 지수(시장가격),1111.05,-8.65,-0.77
FnGuide K-반도체 지수,3198.87,84.56,2.72
FnGuide K-푸드 지수 (시장가격),830.09,1.97,0.24
FnGuide 5G 산업 지수,2190.31,12.46,0.57
FnGuide 골프 테마 지수,580.72,3.05,0.53
FnGuide 전기&수소차 지수 (시장가격),1750.57,32.73,1.91
FnGuide 조선해운지수,2276.42,-11.74,-0.51
FnGuide 친환경에너지 지수 (시장가격),1393.43,46.83,3.48
iSelect K-메디테크 지수(PR),1786.87,26.37,1.5
FnGuide K-뷰티 지수,458.32,8.24,1.83
KAP 초장기 국고채 지수(총수익),13505.95,-12.87,-0.1
KOFR 지수,1130.67,0.1,0.01
KRX 기후변화 솔루션지수,2045.38,48.19,2.41
MSCI Korea TR Index,1520.05,23.96,1.6
FnGuide E커머스 지수,1579.95,-7.33,-0.46
FnGuide 고배당 알파 지수,1914.33,17.11,0.9
NYSE Arca Gold Miners Index (Price Return),331.44,0,0
S&P Global Luxury Index,3808.64,4.38,0.12
Solactive Semiconductor Top 10 Index PR,5438.94,-2.17,-0.04
MSCI World IMI Virology Select Index,1925.23,15.17,0.79
Solactive United States Technology 100 Index(Price Return),11367.94,72.3,0.64
MSCI ACWI IMI New Energy ESG Filtered (Price Return),1444.13,0.79,0.05
MSCI ACWI IMI Water ESG Filtered (Price Return),2131.26,-5.2,-0.24
ICE Global Carbon Futures Index(Excess Return),580.26,-5.7,-0.97
FnGuide 농업융복합산업 지수(시장가격),1157.31,26.54,2.35
KAP 단기 통안채 지수(총수익),13694.45,3.61,0.03
KIS-NH Amundi MMF지수,112.91,0.03,0.03
iSelect US 메타버스 지수(시장가격),5497.9,38.75,0.71
iSelect 미국 애그테크 지수 (PR),1824.77,-8.59,-0.47
FnGuide 반도체 핵심공정 지수,1032.13,23.32,2.31
iSelect 원자력지수 (시장가격),1559.95,23.4,1.52
Bloomberg Euro Treasury 50bn 25+ Year Bond Index,153.17,1.56,1.03
KAP 종합채권 총수익지수(AA-이상),116.29,-0.04,-0.03
iSelect 주주가치성장 지수,1584.94,16.66,1.06
F-코스닥150 지수,1521.46,44.93,3.04
KRX/S&P 탄소효율 그린뉴딜지수,1484.28,21.71,1.48
S&P Korea 저변동성 지수,9983.09,30.88,0.31
KAP 종합채권 AA- 이상 지수(총수익),116.18,-0.04,-0.03
S&P500 Top10 25% Capped Index(PR),5804.19,58.6,1.02
FnGuide 스마트커머스 지수,726.22,3.83,0.53
FnGuide TMT 지수,1625.82,4.68,0.29
KAP 1년은행 CD+추가금리 지수(총수익지수),1170.38,0.36,0.03
코스피 200 중소형주지수,1283.71,11.5,0.9
코스피 200 ESG 지수,389.68,4.9,1.27
코스피200 정보기술 TR,3601.35,67.55,1.91
코스피 200 초대형제외 지수,249.68,3.02,1.22
코스피 200 가치저변동성,5604.37,42.43,0.76
코스피 200 동일가중지수,2163.91,13.29,0.62
코스피200 롱 100% 코스닥150 숏 100% 선물지수,770.52,-8.11,-1.04
코스피 200 미국채 혼합지수,3027.97,-3.53,-0.12
KAP 24-12 은행채 총수익 지수,104.57,0.03,0.03
"KAP 25-11 은행채 PLUS 지수(AA-이상, 총수익)",105.23,0.02,0.02
KAP 25-11 회사채 총수익 지수,111.66,0.03,0.03
KAP 26-12 회사채 총수익 지수(AA-이상),113.65,-0.03,-0.03
FnGuide 2차전지 산업 지수,2722.2,106.04,4.05
FnGuide 2차전지핵심소재10 지수,5094.37,246.69,5.09
KAP 33-06 국고채 총수익 지수,111.29,-0.09,-0.08
S&P GSCI Grains Select Index ER,17.42,-0.04,-0.2
KAP 53-09 국고채 총수익 지수,113.81,-0.19,-0.17
iSelect AI 반도체핵심장비 지수,2835.5,70.38,2.55
iSelect AI 전력핵심설비 지수(Price Return),5203.14,194.81,3.89
KAP 양도성예금증서(CD)금리지수(총수익지수),117.93,0.03,0.03
"KAP ESG 종합채권지수(A- 이상, 총수익)",124.97,-0.01,-0.01
FnGuide TOP10 동일가중 지수,1198.89,10.59,0.89
FnGuide 멀티팩터 지수,7850.88,99.01,1.28
FnGuide 성장 지수(PR),4011.53,77.84,1.98
